id,district_id,name_th,name_en,lat,long,zipcode
"100101","1001","พระบรมมหาราชวัง","Phra Borom Maha Ratchawang","13.751","100.492","10200"
"100102","1001","วังบูรพาภิรมย์","Wang Burapha Phirom","13.744","100.499","10200"
"100103","1001","วัดราชบพิธ","Wat Ratchabophit","13.750","100.499","10200"
"100104","1001","สำราญราษฎร์","Samran Rat","13.751","100.503","10200"
"100105","1001","ศาลเจ้าพ่อเสือ","San Chaopho Suea","13.754","100.497","10200"
"100106","1001","เสาชิงช้า","Sao Chingcha","13.753","100.500","10200"
"100107","1001","บวรนิเวศ","Bowon Niwet","13.757","100.501","10200"
"100108","1001","ตลาดยอด","Talat Yot","13.760","100.498","10200"
"100109","1001","ชนะสงคราม","Chana Songkhram","13.762","100.495","10200"
"100110","1001","บ้านพานถม","Ban Phan Thom","13.762","100.503","10200"
"100111","1001","บางขุนพรหม","Bang Khun Phrom","13.765","100.505","10200"
"100112","1001","วัดสามพระยา","Wat Sam Phraya","13.768","100.499","10200"
"100201","1002","ดุสิต","Dusit","13.772","100.513","10300"
"100202","1002","วชิรพยาบาล","Wachira Phayaban","13.778","100.505","10300"
"100203","1002","สวนจิตรลดา","Suan Chit Lada","13.767","100.520","10300"
"100204","1002","สี่แยกมหานาค","Si Yaek Maha Nak","13.758","100.517","10300"
"100206","1002","ถนนนครไชยศรี","","13.789","100.522","10300"
"100301","1003","กระทุ่มราย","","13.823","100.897","10530"
"100302","1003","หนองจอก","","13.869","100.885","10530"
"100303","1003","คลองสิบ","","13.914","100.820","10530"
"100304","1003","คลองสิบสอง","","13.914","100.880","10530"
"100305","1003","โคกแฝด","","13.840","100.836","10530"
"100306","1003","คู้ฝั่งเหนือ","","13.872","100.810","10530"
"100307","1003","ลำผักชี","","13.797","100.844","10530"
"100308","1003","ลำต้อยติ่ง","","13.781","100.877","10530"
"100401","1004","มหาพฤฒาราม","","13.734","100.520","10500"
"100402","1004","สีลม","","13.730","100.525","10500"
"100403","1004","สุริยวงศ์","","13.724","100.530","10500"
"100404","1004","บางรัก","","13.727","100.527","10500"
"100405","1004","สี่พระยา","","13.725","100.514","10500"
"100502","1005","อนุสาวรีย์","","13.868","100.606","10220"
"100508","1005","ท่าแร้ง","","13.866","100.650","10220"
"100601","1006","คลองจั่น","","13.786","100.635","10240"
"100608","1006","หัวหมาก","","13.756","100.660","10240"
"100701","1007","รองเมือง","","13.744","100.520","10330"
"100702","1007","วังใหม่","","13.742","100.526","10330"
"100703","1007","ปทุมวัน","","13.740","100.535","10330"
"100704","1007","ลุมพินี","","13.736","100.546","10330"
"100801","1008","ป้อมปราบ","","13.743","100.514","10100"
"100802","1008","วัดเทพศิรินทร์","","13.749","100.512","10100"
"100803","1008","คลองมหานาค","","13.753","100.513","10100"
"100804","1008","บ้านบาตร","","13.752","100.507","10100"
"100805","1008","วัดโสมนัส","","13.759","100.511","10100"
"100905","1009","บางจาก","","13.692","100.626","10260"
"101001","1010","มีนบุรี","","13.804","100.723","10510"
"101002","1010","แสนแสบ","","13.812","100.774","10510"
"101101","1011","ลาดกระบัง","","13.723","100.771","10520"
"101102","1011","คลองสองต้นนุ่น","","13.753","100.723","10520"
"101103","1011","คลองสามประเวศ","","13.753","100.754","10520"
"101104","1011","ลำปลาทิว","","13.765","100.817","10520"
"101105","1011","ทับยาว","","13.728","100.815","10520"
"101106","1011","ขุมทอง","","13.736","100.855","10520"
"101203","1012","ช่องนนทรี","","13.682","100.533","10120"
"101204","1012","บางโพงพาง","","13.697","100.544","10120"
"101301","1013","จักรวรรดิ","","13.741","100.504","10100"
"101302","1013","สัมพันธวงศ์","","13.739","100.511","10100"
"101303","1013","ตลาดน้อย","","13.734","100.513","10100"
"101401","1014","สามเสนใน","","13.782","100.545","10400"
"101501","1015","วัดกัลยาณ์","","13.737","100.493","10600"
"101502","1015","หิรัญรูจี","","13.731","100.490","10600"
"101503","1015","บางยี่เรือ","","13.720","100.482","10600"
"101504","1015","บุคคโล","","13.707","100.486","10600"
"101505","1015","ตลาดพลู","","13.715","100.473","10600"
"101601","1016","วัดอรุณ","","13.743","100.486","10600"
"101602","1016","วัดท่าพระ","","13.733","100.475","10600"
"101701","1017","ห้วยขวาง","","13.769","100.577","10310"
"101702","1017","บางกะปิ","","13.752","100.586","10310"
